Iteration	CPUTime	PhysTime	Travels
609	2564	0	4.3154313
610	2570	0	4.32251739
611	2575	0	4.32960348
612	2580	0	4.33668958
613	2585	0	4.34377567
614	2590	0	4.35086177
615	2595	0	4.35794786
616	2600	0	4.36503396
617	2605	0	4.37212005
618	2609	0	4.37920614
619	2614	0	4.38629224
620	2619	0	4.39337833
621	2624	0	4.40046443
622	2628	0	4.40755052
623	2633	0	4.41463661
624	2637	0	4.42172271
625	2642	0	4.4288088
626	2648	0	4.4358949
627	2653	0	4.44298099
628	2658	0	4.45006708
629	2663	0	4.45715318
630	2668	0	4.46423927
631	2674	0	4.47132537
632	2680	0	4.47841146
633	2685	0	4.48549755
634	2690	0	4.49258365
635	2696	0	4.49966974
636	2701	0	4.50675584
637	2706	0	4.51384193
638	2711	0	4.52092802
639	2716	0	4.52801412
640	2722	0	4.53510021
641	2728	0	4.54218631
642	2734	0	4.5492724
643	2739	0	4.5563585
644	2744	0	4.56344459
645	2750	0	4.57053068
646	2756	0	4.57761678
647	2760	0	4.58470287
648	2765	0	4.59178897
649	2770	0	4.59887506
650	2775	0	4.60596115
651	2779	0	4.61304725
652	2784	0	4.62013334
653	2789	0	4.62721944
654	2795	0	4.63430553
655	2801	0	4.64139162
656	2806	0	4.64847772
657	2812	0	4.65556381
658	2817	0	4.66264991
659	2822	0	4.669736
660	2826	0	4.67682209
661	2831	0	4.68390819
662	2836	0	4.69099428
663	2842	0	4.69808038
664	2846	0	4.70516647
665	2852	0	4.71225257
666	2858	0	4.71933866
667	2863	0	4.72642475
668	2868	0	4.73351085
669	2873	0	4.74059694
670	2879	0	4.74768304
671	2884	0	4.75476913
672	2889	0	4.76185522
673	2893	0	4.76894132
674	2899	0	4.77602741
675	2904	0	4.78311351
676	2909	0	4.7901996
677	2914	0	4.79728569
678	2919	0	4.80437179
679	2924	0	4.81145788
680	2929	0	4.81854398
681	2935	0	4.82563007
682	2939	0	4.83271616
683	2944	0	4.83980226
684	2949	0	4.84688835
685	2954	0	4.85397445
686	2960	0	4.86106054
687	2965	0	4.86814664
688	2970	0	4.87523273
689	2975	0	4.88231882
690	2980	0	4.88940492
691	2985	0	4.89649101
692	2990	0	4.90357711
693	2995	0	4.9106632
694	3000	0	4.91774929
695	3005	0	4.92483539
696	3009	0	4.93192148
697	3014	0	4.93900758
698	3019	0	4.94609367
699	3024	0	4.95317976
700	3029	0	4.96026586
701	3041	0	4.96735195
702	3047	0	4.97443805
703	3053	0	4.98152414
704	3058	0	4.98861023
705	3062	0	4.99569633
706	3068	0	5.00278242
707	3073	0	5.00986852
708	3078	0	5.01695461
709	3083	0	5.0240407
710	3088	0	5.0311268
711	3093	0	5.03821289
712	3098	0	5.04529899
713	3104	0	5.05238508
714	3109	0	5.05947118
715	3114	0	5.06655727
716	3119	0	5.07364336
